Text,Image
urn:cts:greekLit:tlg0012.tlg001.msA:1.title,"urn:cite:hmt:vaimg.VA012RN_0013@0.2022,0.211,0.1732,0.0203"
urn:cts:greekLit:tlg0012.tlg001.msA:1.1,"urn:cite:hmt:vaimg.VA012RN_0013@0.0611,0.2252,0.4675,0.0901"
urn:cts:greekLit:tlg0012.tlg001.msA:1.2,"urn:cite:hmt:vaimg.VA012RN_0013@0.1632,0.2523,0.3323,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:1.3,"urn:cite:hmt:vaimg.VA012RN_0013@0.1642,0.2725,0.3323,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:1.4,"urn:cite:hmt:vaimg.VA012RN_0013@0.1652,0.2905,0.3463,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:1.5,"urn:cite:hmt:vaimg.VA012RN_0013@0.1632,0.3116,0.3273,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:1.6,"urn:cite:hmt:vaimg.VA012RN_0013@0.1632,0.3288,0.3373,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:1.7,"urn:cite:hmt:vaimg.VA012RN_0013@0.1642,0.3498,0.3534,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:1.8,"urn:cite:hmt:vaimg.VA012RN_0013@0.1612,0.3701,0.3604,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:1.9,"urn:cite:hmt:vaimg.VA012RN_0013@0.1592,0.3874,0.3664,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:1.10,"urn:cite:hmt:vaimg.VA012RN_0013@0.1632,0.4069,0.3664,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:2.title,"urn:cite:hmt:vaimg.VA024RN_0025@0.25,0.4538,0.212,0.0368"
urn:cts:greekLit:tlg0012.tlg001.msA:2.1,"urn:cite:hmt:vaimg.VA024RN_0025@0.101,0.4606,0.462,0.0706"
urn:cts:greekLit:tlg0012.tlg001.msA:2.2,"urn:cite:hmt:vaimg.VA024RN_0025@0.171,0.5109,0.378,0.024"
urn:cts:greekLit:tlg0012.tlg001.msA:2.3,"urn:cite:hmt:vaimg.VA024RN_0025@0.169,0.5289,0.375,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:2.4,"urn:cite:hmt:vaimg.VA024RN_0025@0.167,0.5485,0.391,0.0285"
urn:cts:greekLit:tlg0012.tlg001.msA:2.5,"urn:cite:hmt:vaimg.VA024RN_0025@0.163,0.5657,0.369,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:2.6,"urn:cite:hmt:vaimg.VA024RN_0025@0.17,0.5875,0.374,0.024"
urn:cts:greekLit:tlg0012.tlg001.msA:2.7,"urn:cite:hmt:vaimg.VA024RN_0025@0.168,0.6063,0.39,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:2.8,"urn:cite:hmt:vaimg.VA024RN_0025@0.17,0.6251,0.366,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:2.9,"urn:cite:hmt:vaimg.VA024RN_0025@0.165,0.6439,0.342,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:2.10,"urn:cite:hmt:vaimg.VA024RN_0025@0.163,0.6604,0.407,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:3.title,"urn:cite:hmt:vaimg.VA042RN_0043@0.249,0.2134,0.163,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:3.1,"urn:cite:hmt:vaimg.VA042RN_0043@0.15,0.2314,0.39,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:3.2,"urn:cite:hmt:vaimg.VA042RN_0043@0.15,0.2509,0.39,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:3.3,"urn:cite:hmt:vaimg.VA042RN_0043@0.148,0.2705,0.39,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:3.4,"urn:cite:hmt:vaimg.VA042RN_0043@0.146,0.2885,0.418,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:3.5,"urn:cite:hmt:vaimg.VA042RN_0043@0.148,0.3065,0.378,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:3.6,"urn:cite:hmt:vaimg.VA042RN_0043@0.139,0.3253,0.404,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:3.7,"urn:cite:hmt:vaimg.VA042RN_0043@0.14,0.3479,0.404,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:3.8,"urn:cite:hmt:vaimg.VA042RN_0043@0.134,0.3666,0.374,0.0233"
urn:cts:greekLit:tlg0012.tlg001.msA:3.9,"urn:cite:hmt:vaimg.VA042RN_0043@0.136,0.3869,0.397,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:3.10,"urn:cite:hmt:vaimg.VA042RN_0043@0.128,0.4042,0.426,0.0255"
